0x006df5d4,_dadd
0xff21e3f8,GetDateAndTime_FW
0xff4d3ec4,GetDay_FW
0xff0857d0,GetdccdFilterValue_FW
0xff085734,GetdccdImage_FW
0xff07fb58,GetDCPAdjOffset_FW
0xff315db4,GetDefectAllResultData_FW
0xff315d30,GetDefectCrawInfo_FW
0xff315ed8,GetDefectHistgramInfo_FW
0xff315e00,GetDefectPartResultData_FW
0xff31631c,GetDefectTurnTableParam_FW
0xff315f14,GetDefectTvAdj_FW
0xff02bf74,GetDialEventId_FW
0xff098ee4,GetDISModeParameter_FW
0xff3d65b8,GetDISModeParamType_FW
0xff03029c,GetDrive_ClusterSize
0xff030aa8,GetDrive_FreeClusters
0xff030a7c,GetDrive_TotalClusters
0xff19368c,GetDriverInfoEvent_FW
0xff4d44f8,GetEFUSEData_FW
0xff4f9904,GetEsmAlarm_FW
0xff4f8e6c,GetEsmCurrentImprovedPos_FW
0xff4f84ac,GetEsmCurrentPosition_FW
0xff4f99c0,GetEsmDGain_FW
0xff4f9368,GetEsmEncALightLevel_FW
0xff4f93b4,GetEsmEncBLightLevel_FW
0xff4f8584,GetEsmEncCurrentPosition_FW
0xff4f9a60,GetEsmEncLevel_FW
0xff203038,GetEsmEncPhaseOffset_FW
0xff3c0118,GetEsmEncPiPlatePosVal_FW
0xff4f9c1c,GetEsmEncTestSpeedAndVoltage_FW
0xff4f99d0,GetEsmEViClamp_FW
0xff4f99b8,GetEsmIGain_FW
0xff4f9950,GetEsmOpenDriveDuty_FW
0xff4f99e0,GetEsmParamLPF2_FW
0xff4f99f0,GetEsmParamPLF_FW
0xff4f99b0,GetEsmPGain_FW
0xff4f98e4,GetEsmPiPosition_FW
0xff4f98ec,GetEsmPiStatus_FW
0xff4f9930,GetEsmPwmFrequency_FW
0xff4f9ae8,GetEsmRstPiMoveStrtPos_FW
0xff4f9af0,GetEsmRstPiPos_FW
0xff4f9df4,GetEsmSpeedMeasure_FW
0xff4f8530,GetEsmTargetPosition_FW
0xff4f9230,GetEsmTestAveSpeedCcw_FW
0xff4f920c,GetEsmTestAveSpeedCw_FW
0xff4f9254,GetEsmTestAveVoltage_FW
0xff4f923c,GetEsmTestMaxSpeedCcw_FW
0xff4f9218,GetEsmTestMaxSpeedCw_FW
0xff4f9260,GetEsmTestMaxVoltage_FW
0xff4f9248,GetEsmTestMinSpeedCcw_FW
0xff4f9224,GetEsmTestMinSpeedCw_FW
0xff4f926c,GetEsmTestMinVoltage_FW
0xff4f9b70,GetEsmVdPos_FW
0x006b82c4,GetEventFlagValue
0xff4d1744,GetExStrobeID_FW
0xff372024,GetFaceAuthBinAddr_FW
0xff37202c,GetFaceAuthBinSize_FW
0xff0ae730,GetFirmwareVersion_FW
0xff099094,GetFixedPWMOutA_FW
0xff09909c,GetFixedPWMOutB_FW
0xff3c00d8,GetFocusActuatorMicroStepCountSync_FW
0xff203b58,GetFocusDefaultResetPosition_FW
0xff4d7000,GetFocusEncLevel_FW
0xff4d6fa8,GetFocusEncLevelAll_FW
0xff3c2aec,GetFocusLensCurrentPosition_FW
0xff3c2af0,GetFocusLensCurrentPositionWithMotor_FW
0xff3c2af4,GetFocusLensDriveVoltage_FW
0xff3d4b28,GetFocusLensEncDuty_FW
0xff3d4b2c,GetFocusLensEncLevel_FW
0xff3d4b58,GetFocusLensEncLevelAll_FW
0xff3c30dc,GetFocusLensEncPhaseOffset_FW
0xff3c2c18,GetFocusLensGainSlope_FW
0xff3c2bcc,GetFocusLensHoldVoltage_FW
0xff3d3a70,GetFocusLensIrisCoefficient_FW
0xff3d4940,GetFocusLensLoadCamTable_FW
0xff3d4918,GetFocusLensLoadSubjectDistance_FW
0xff3d4a64,GetFocusLensMoveMaxPosition_FW
0xff3d4a7c,GetFocusLensMoveMinPosition_FW
0xff3d4a98,GetFocusLensMoveRangeOfTelePoint_FW
0xff3d4910,GetFocusLensPositionRatio_FW
0xff202fc0,GetFocusLensPullInMaxSpeed_FW
0xff3c2094,GetFocusLensResetDefaultPosition_FW
0xff3c2084,GetFocusLensResetPosition_FW
0xff4f58e0,GetFocusLensResetVoltage_FW
0xff3c2b80,GetFocusLensSettingWaitVoltage_FW
0xff2035b4,GetFocusLensSubjectDistance
0xff3d4894,GetFocusLensSubjectDistance_FW
0xff203998,GetFocusLensSubjectDistanceFromLens,(stubs_entry_2.s)
0xff3d48b0,GetFocusLensSubjectDistanceNumber_FW
0xff206eac,GetFocusPiSensorLevel_FW
0xff203aec,GetFocusResetPosition_FW
0xff093f28,GetFocusStartZoomPosition_FW
0xff4d063c,GetFrameRateWithApex_FW
0xff098ca0,GetGyro10BitDACPitch_FW
